"Mod name","Registry name","Potion Name","ID","Color","Is bad","Is beneficial"
"Minecraft","minecraft:absorption","effect.minecraft.absorption",22,"0x002552A5 (   2445989)","false","true"
"Minecraft","minecraft:bad_omen","effect.minecraft.bad_omen",31,"0x000B6138 (    745784)","false","false"
"Minecraft","minecraft:blindness","effect.minecraft.blindness",15,"0x001F1F23 (   2039587)","true","false"
"Minecraft","minecraft:conduit_power","effect.minecraft.conduit_power",29,"0x001DC2D1 (   1950417)","false","true"
"Minecraft","minecraft:darkness","effect.minecraft.darkness",33,"0x00292721 (   2696993)","true","false"
"Minecraft","minecraft:dolphins_grace","effect.minecraft.dolphins_grace",30,"0x0088A3BE (   8954814)","false","true"
"Minecraft","minecraft:fire_resistance","effect.minecraft.fire_resistance",12,"0x00FF9900 (  16750848)","false","true"
"Minecraft","minecraft:glowing","effect.minecraft.glowing",24,"0x0094A061 (   9740385)","false","false"
"Minecraft","minecraft:haste","effect.minecraft.haste",3,"0x00D9C043 (  14270531)","false","true"
"Minecraft","minecraft:health_boost","effect.minecraft.health_boost",21,"0x00F87D23 (  16284963)","false","true"
"Minecraft","minecraft:hero_of_the_village","effect.minecraft.hero_of_the_village",32,"0x0044FF44 (   4521796)","false","true"
"Minecraft","minecraft:hunger","effect.minecraft.hunger",17,"0x00587653 (   5797459)","true","false"
"Minecraft","minecraft:instant_damage","effect.minecraft.instant_damage",7,"0x00A9656A (  11101546)","true","false"
"Minecraft","minecraft:instant_health","effect.minecraft.instant_health",6,"0x00F82423 (  16262179)","false","true"
"Minecraft","minecraft:invisibility","effect.minecraft.invisibility",14,"0x00F6F6F6 (  16185078)","false","true"
"Minecraft","minecraft:jump_boost","effect.minecraft.jump_boost",8,"0x00FDFF84 (  16646020)","false","true"
"Minecraft","minecraft:levitation","effect.minecraft.levitation",25,"0x00CEFFFF (  13565951)","true","false"
"Minecraft","minecraft:luck","effect.minecraft.luck",26,"0x0059C106 (   5882118)","false","true"
"Minecraft","minecraft:mining_fatigue","effect.minecraft.mining_fatigue",4,"0x004A4217 (   4866583)","true","false"
"Minecraft","minecraft:nausea","effect.minecraft.nausea",9,"0x00551D4A (   5578058)","true","false"
"Minecraft","minecraft:night_vision","effect.minecraft.night_vision",16,"0x00C2FF66 (  12779366)","false","true"
"Minecraft","minecraft:poison","effect.minecraft.poison",19,"0x0087A363 (   8889187)","true","false"
"Minecraft","minecraft:regeneration","effect.minecraft.regeneration",10,"0x00CD5CAB (  13458603)","false","true"
"Minecraft","minecraft:resistance","effect.minecraft.resistance",11,"0x009146F0 (   9520880)","false","true"
"Minecraft","minecraft:saturation","effect.minecraft.saturation",23,"0x00F82423 (  16262179)","false","true"
"Minecraft","minecraft:slow_falling","effect.minecraft.slow_falling",28,"0x00F3CFB9 (  15978425)","false","true"
"Minecraft","minecraft:slowness","effect.minecraft.slowness",2,"0x008BAFE0 (   9154528)","true","false"
"Minecraft","minecraft:speed","effect.minecraft.speed",1,"0x0033EBFF (   3402751)","false","true"
"Minecraft","minecraft:strength","effect.minecraft.strength",5,"0x00FFC700 (  16762624)","false","true"
"Minecraft","minecraft:unluck","effect.minecraft.unluck",27,"0x00C0A44D (  12624973)","true","false"
"Minecraft","minecraft:water_breathing","effect.minecraft.water_breathing",13,"0x0098DAC0 (  10017472)","false","true"
"Minecraft","minecraft:weakness","effect.minecraft.weakness",18,"0x00484D48 (   4738376)","true","false"
"Minecraft","minecraft:wither","effect.minecraft.wither",20,"0x00736156 (   7561558)","true","false"
"Unknown","betterend:end_veil","effect.betterend.end_veil",749,"0x000D554A (    873802)","false","true"
"Unknown","blockus:asphalt_sprint","effect.blockus.asphalt_sprint",750,"0x001D1B36 (   1907510)","false","true"
"Unknown","brewery:blackout","effect.brewery.blackout",752,"0x00111111 (   1118481)","false","true"
"Unknown","brewery:combustion","effect.brewery.combustion",758,"0x00000000 (         0)","false","true"
"Unknown","brewery:drunk","effect.brewery.drunk",751,"0x00E0DD2F (  14736687)","false","true"
"Unknown","brewery:explosion","effect.brewery.explosion",757,"0x00000000 (         0)","false","true"
"Unknown","brewery:haley","effect.brewery.haley",766,"0x00000000 (         0)","false","true"
"Unknown","brewery:healingtouch","effect.brewery.healingtouch",761,"0x00000000 (         0)","false","true"
"Unknown","brewery:lightning_strike","effect.brewery.lightning_strike",756,"0x00000000 (         0)","false","true"
"Unknown","brewery:mining","effect.brewery.mining",753,"0x00000000 (         0)","false","true"
"Unknown","brewery:pacify","effect.brewery.pacify",754,"0x00000000 (         0)","false","true"
"Unknown","brewery:partystarter","effect.brewery.partystarter",763,"0x00000000 (         0)","false","true"
"Unknown","brewery:pintcharisma","effect.brewery.pintcharisma",765,"0x00000000 (         0)","false","true"
"Unknown","brewery:protectivetouch","effect.brewery.protectivetouch",762,"0x00000000 (         0)","false","true"
"Unknown","brewery:renewingtouch","effect.brewery.renewingtouch",760,"0x00000000 (         0)","false","true"
"Unknown","brewery:repulsion","effect.brewery.repulsion",755,"0x00000000 (         0)","false","true"
