0,"still_life:alpine_heathlands"
1,"still_life:alpine_plains"
2,"still_life:alpine_tundra"
3,"betterend:amber_land"
4,"still_life:arctic_beach"
5,"still_life:arctic_deep_ocean"
6,"still_life:arctic_desert"
7,"still_life:arctic_desert_basin"
8,"still_life:arctic_glacier"
9,"still_life:arctic_river"
10,"still_life:arctic_shallow_ocean"
11,"still_life:arctic_tundra"
12,"still_life:arctic_wetlands"
13,"still_life:arid_beach"
14,"still_life:arid_desert"
15,"still_life:arid_highlands"
16,"incendium:ash_barrens"
17,"minecraft:badlands"
18,"minecraft:bamboo_jungle"
19,"still_life:barren_arctic_desert"
20,"still_life:barren_caves"
21,"still_life:barren_mediterranean_highlands"
22,"still_life:barren_peaks"
23,"still_life:barren_tundra"
24,"minecraft:basalt_deltas"
25,"minecraft:beach"
26,"minecraft:birch_forest"
27,"still_life:birch_forest"
28,"betterend:blossoming_spires"
29,"still_life:bog"
30,"betternether:bone_reef"
31,"still_life:boreal_alpine_tundra"
32,"still_life:boreal_river"
33,"minecraft:cherry_grove"
34,"betterend:chorus_forest"
35,"still_life:cold_barren_highlands"
36,"still_life:cold_deep_ocean"
37,"still_life:cold_desert"
38,"minecraft:cold_ocean"
39,"still_life:cold_semi_desert"
40,"still_life:cold_shallow_ocean"
41,"still_life:cold_steppe"
42,"still_life:cold_taiga"
43,"still_life:cold_taiga_clearings"
44,"still_life:cold_tundra_beach"
45,"minecraft:crimson_forest"
46,"betternether:crimson_glowing_woods"
47,"betternether:crimson_pinewood"
48,"galosphere:crystal_canyons"
49,"betterend:crystal_mountains"
50,"nullscape:crystal_peaks"
51,"minecraft:dark_forest"
52,"minecraft:deep_cold_ocean"
53,"minecraft:deep_dark"
54,"minecraft:deep_frozen_ocean"
55,"minecraft:deep_lukewarm_ocean"
56,"minecraft:deep_ocean"
57,"terrablender:deferred_placeholder"
58,"minecraft:desert"
59,"still_life:desert_river"
60,"still_life:desert_wetlands"
61,"betterend:dragon_graveyards"
62,"minecraft:dripstone_caves"
63,"still_life:dry_cold_steppe"
64,"betterend:dry_shrubland"
65,"still_life:dry_tropical_highlands"
66,"betterend:dust_wastelands"
67,"betterend:empty_aurora_cave"
68,"betterend:empty_end_cave"
69,"betterend:empty_smaragdant_cave"
70,"minecraft:end_barrens"
71,"minecraft:end_highlands"
72,"minecraft:end_midlands"
73,"minecraft:eroded_badlands"
74,"still_life:evergreen_taiga"
75,"still_life:fen"
76,"betternether:flooded_deltas"
77,"still_life:flooded_grasslands"
78,"still_life:flooded_savanna"
79,"minecraft:flower_forest"
80,"betterend:foggy_mushroomland"
81,"minecraft:forest"
82,"still_life:frozen_caves"
83,"minecraft:frozen_ocean"
84,"minecraft:frozen_peaks"
85,"minecraft:frozen_river"
86,"still_life:glacial_basin"
87,"still_life:glowing_caves"
